Deaths	Total	Center	Treatment
3	39	1	Control
14	116	2	Control
11	93	3	Control
127	1520	4	Control
27	365	5	Control
6	52	6	Control
152	939	7	Control
48	471	8	Control
37	282	9	Control
188	1921	10	Control
52	583	11	Control
47	266	12	Control
16	293	13	Control
45	883	14	Control
31	147	15	Control
38	213	16	Control
12	122	17	Control
6	154	18	Control
3	134	19	Control
40	218	20	Control
43	364	21	Control
39	674	22	Control
3	38	1	Treated
7	114	2	Treated
5	69	3	Treated
102	1533	4	Treated
28	355	5	Treated
4	59	6	Treated
98	945	7	Treated
60	632	8	Treated
25	278	9	Treated
138	1916	10	Treated
64	873	11	Treated
45	263	12	Treated
9	291	13	Treated
57	858	14	Treated
25	154	15	Treated
33	207	16	Treated
28	251	17	Treated
8	151	18	Treated
6	174	19	Treated
32	209	20	Treated
27	391	21	Treated
22	680	22	Treated
